loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
27,3,Not Graduate,No,500406,572803,20,594,24334377,18210703,15863751,13712570,Rejected
28,0,Graduate,No,717961,1634851,16,522,14917013,8441542,34646541,6088788,Rejected
29,0,Not Graduate,Yes,1235598,14454158,14,374,2699392,12018470,30000062,14473938,Rejected
30,2,Graduate,Yes,2711902,27572846,6,401,19322840,3807573,29609414,3825211,Rejected
31,2,Graduate,No,7369158,693695,14,831,22604885,3372840,20451866,14283866,Approved
32,1,Graduate,Yes,3840377,18523889,14,472,7653975,15460272,37867063,13139607,Rejected
33,3,Graduate,Yes,363944,29739501,20,303,3850211,5594088,23463153,14039268,Rejected
34,3,Graduate,No,3222345,4190617,6,778,26475156,12527528,15359996,532082,Approved
35,5,Not Graduate,Yes,3169852,19540832,4,694,3804918,7921884,22495030,5703272,Approved
36,5,Graduate,Yes,8150630,4913417,18,466,20862982,1823899,12356572,992184,Rejected
37,5,Graduate,No,5924827,5215068,2,599,5990742,488830,22331066,336587,Rejected
38,2,Not Graduate,No,7000541,20120499,14,417,10817380,13785460,15463471,2120014,Rejected
39,3,Not Graduate,Yes,4956004,21598953,8,811,135571,5277910,23974120,14853398,Approved
40,3,Graduate,No,1558454,9634473,4,474,8565360,8194414,30524580,4667404,Rejected
41,0,Not Graduate,Yes,7889969,26977562,4,458,25725984,16197745,35006170,4347415,Approved
42,2,Not Graduate,No,4071018,17297345,16,683,3070741,3816647,25119975,7526316,Approved
43,4,Graduate,No,9659412,6449244,14,526,2939025,10694680,31211330,11373908,Rejected
44,2,Graduate,No,6612083,22783611,14,337,2406955,6187941,23733002,8262868,Rejected
45,4,Not Graduate,No,8075639,20679226,10,762,6042178,14062712,39262966,2896836,Approved
46,0,Graduate,Yes,5210281,11313351,20,730,15361555,6698725,31287245,12756318,Approved
47,1,Graduate,No,7898812,4446048,16,403,19556461,13017945,27589463,12870497,Approved
48,3,Not Graduate,No,7007643,22289694,4,492,8727793,6939396,10537234,14597138,Rejected
49,0,Graduate,No,5410558,18757568,4,549,12755561,15049509,26266551,12573895,Rejected
50,3,Graduate,Yes,6159996,5203555,10,312,24085398,8011727,35846313,13383405,Rejected
51,5,Graduate,Yes,2589911,25678054,2,866,8529518,6555775,15222510,12887900,Approved
52,1,Graduate,No,8340210,20620584,12,896,28827529,3148133,23518021,13016318,Approved
53,1,Graduate,No,1926681,6875951,8,854,6678592,1625379,13416691,2294456,Approved
54,0,Not Graduate,No,6754845,3548196,12,687,9747570,12065965,30302693,14738694,Approved
55,1,Not Graduate,No,317408,10044929,14,370,5168257,17456860,37246738,1801165,Rejected
56,4,Graduate,No,836431,28243483,6,870,29445132,8023394,21066703,3805502,Rejected
57,1,Not Graduate,No,3635504,20249654,16,737,5937071,8316213,25678578,8278021,Approved
58,3,Graduate,Yes,9387896,4988362,14,343,5257255,19490452,26878835,14820719,Approved
59,3,Graduate,No,1436541,7255057,2,571,17150146,7685701,32424362,4225630,Approved
60,3,Graduate,No,2236721,20832760,12,313,29047156,15660115,13541905,14218746,Rejected
61,3,Graduate,No,6287494,21599320,14,670,19541362,2506147,36068282,2585341,Approved
62,4,Graduate,No,6363185,29335122,8,411,996429,280570,25600422,4269539,Rejected
63,2,Not Graduate,No,8906406,23855532,4,678,12156202,16184524,24571857,12772550,Approved
64,5,Not Graduate,No,9839830,11758111,20,613,8978268,4617703,35531618,10125295,Approved
65,0,Graduate,Yes,9079391,8567351,18,714,11867690,7537418,14454116,6767427,Approved
66,3,Not Graduate,Yes,5236117,8836394,14,784,14009243,13862610,24873686,1354278,Approved
67,1,Graduate,Yes,1307177,19366099,2,468,24483882,3223396,4475244,14100468,Rejected
68,3,Not Graduate,Yes,9375404,25869970,16,545,5863733,19572539,31660719,2806241,Rejected
69,1,Graduate,Yes,5608520,14356140,6,565,18237940,6375484,16536597,14016726,Rejected
70,5,Not Graduate,Yes,4859014,5848413,8,542,553850,11768386,26930188,12812007,Rejected
71,5,Graduate,No,8270024,8442490,10,599,27459825,5345180,8473584,7322313,Rejected
72,5,Graduate,No,5712460,16093171,2,626,7569245,14702530,19444310,8288314,Approved
73,1,Not Graduate,No,3694585,23355904,12,829,16490377,8841855,19449495,539169,Approved
74,3,Not Graduate,No,2192834,10513929,20,894,23440719,5435502,20426355,10273253,Approved
75,5,Graduate,No,5506175,9217535,12,641,18071431,1189135,27015008,8915235,Approved
76,4,Not Graduate,No,5848734,13864359,4,853,9756677,13686572,21763362,4409012,Approved
77,1,Graduate,Yes,5394914,4413399,20,548,1929341,10299425,16352999,897696,Rejected
78,1,Not Graduate,No,4916302,26874236,12,679,2159838,19036371,17091083,11536709,Approved
79,3,Not Graduate,Yes,2673055,1051399,16,831,12412498,14759284,5302294,10732763,Approved
80,1,Graduate,Yes,1527877,6481906,12,680,12600396,12806268,24402237,13249259,Approved
81,1,Not Graduate,No,7716669,12264293,8,341,7204494,3157094,19552102,6394106,Rejected
82,5,Not Graduate,No,7216812,9355211,8,644,13330316,3919840,25859317,562221,Approved
83,3,Graduate,No,2887328,16262235,18,898,9146228,7502967,27672578,2172270,Approved
84,5,Not Graduate,No,6678623,2504710,12,560,28572891,13472637,18519646,5854967,Rejected
85,5,Graduate,No,2099955,12231695,16,605,5008033,5306698,18798826,8793776,Approved
86,3,Graduate,No,4398811,24854344,16,539,24660524,19771125,39675504,4699112,Rejected
87,0,Graduate,No,6332446,15907231,14,612,10602593,15652691,35591346,10117710,Approved
88,5,Graduate,Yes,872225,19722869,6,740,12798168,11757469,868241,13460337,Approved
89,4,Graduate,No,3710463,16838345,20,432,13734986,17534260,6805372,13906391,Rejected
90,4,Not Graduate,No,3270610,19990175,2,350,22507980,16704910,12720622,4206622,Rejected
91,1,Graduate,Yes,8986301,4560745,10,691,12879294,19721125,15223005,14589140,Approved
92,4,Graduate,No,3932238,13316713,20,822,26230057,8390284,19958950,5001503,Approved
93,1,Not Graduate,No,2172613,25265043,20,807,18984886,4300398,2437316,3652401,Rejected
94,0,Not Graduate,Yes,8506931,12549436,4,653,5027701,4592802,30343915,3711076,Approved
95,3,Not Graduate,No,3535705,15652975,20,694,7462286,1559191,20087207,3981775,Approved
96,3,Graduate,No,5612049,24316000,4,395,330684,2289527,21678296,10439720,Rejected
97,3,Graduate,No,1544091,10721840,14,405,27362944,2106583,38060603,14768085,Rejected
98,4,Graduate,No,604470,25483709,6,812,4900030,1705873,6040190,10330690,Approved
99,0,Not Graduate,No,4529394,12830804,16,857,5048685,19816473,36729136,5310603,Approved
100,4,Graduate,No,991624,8953372,18,541,11004521,1940124,5502638,10307991,Approved
101,4,Not Graduate,Yes,7279903,2350477,16,787,6788017,7041607,22394387,3827360,Approved
102,0,Graduate,No,5288890,27785394,12,814,13943466,7341099,16288037,8343240,Approved
103,0,Not Graduate,No,1801207,13629652,10,360,26051078,19502212,34318710,5788904,Rejected
104,0,Graduate,Yes,5448709,25857268,6,715,23618254,19584743,35692422,12867903,Approved
105,0,Graduate,Yes,3195035,29178800,6,593,15033506,14086512,30828423,5638003,Rejected
106,3,Graduate,No,6403690,27358285,14,601,21773601,7523438,17056451,8403948,Approved
107,2,Not Graduate,Yes,684427,4354567,10,469,25097447,5461004,21171554,6366663,Rejected
108,2,Not Graduate,No,4158905,20928372,12,340,14242110,3356217,33479191,431402,Rejected
109,0,Graduate,No,4283372,7014996,12,530,21605450,10254209,12334203,2602077,Rejected
110,2,Graduate,Yes,1309229,1267208,18,708,23514191,18198359,9060846,5910093,Approved
111,2,Graduate,No,4093623,8301319,2,596,8053537,6094371,12123628,5490639,Rejected
112,0,Not Graduate,No,6391081,23185247,16,754,28869301,15835681,10546782,951498,Approved
113,2,Graduate,Yes,2289884,1422924,20,356,23372315,745746,4521330,11622738,Rejected
114,4,Graduate,Yes,4404099,9549136,10,539,6258724,9219441,16718660,2495836,Rejected
115,1,Graduate,Yes,8509740,26834226,12,897,24925990,3963753,38252532,1428885,Approved
116,1,Graduate,Yes,7473820,11717659,12,475,23070899,2190372,17820068,13123017,Rejected
117,0,Not Graduate,No,5021699,24923750,2,362,15470459,19434346,28809880,3478329,Rejected
118,3,Not Graduate,Yes,6805129,22285040,6,850,21191457,3691842,3857648,14317831,Approved
119,0,Graduate,Yes,6372056,7076192,12,437,19449250,15062448,35090930,9435306,Rejected
120,3,Graduate,Yes,1696030,1870020,18,753,26852424,19189677,889273,880312,Approved
121,1,Not Graduate,Yes,211009,8631320,12,748,1190857,10212599,9098423,882360,Approved
122,0,Not Graduate,Yes,4572472,12971493,12,525,18005143,10281070,7775942,549107,Rejected
123,5,Graduate,No,1923480,25392953,2,742,13821420,18619183,26911959,1073929,Approved
124,4,Not Graduate,Yes,8513264,26139937,18,505,23586200,1877723,25981141,13200784,Rejected
125,2,Not Graduate,No,3899397,15558874,8,326,20362868,19821251,1940549,504598,Approved
126,3,Graduate,Yes,2191367,16043416,4,756,6040908,140631,3581909,7009898,Approved
127,5,Not Graduate,Yes,5769634,15331215,2,406,6971396,13139452,25522173,14866187,Rejected
128,2,Not Graduate,Yes,8918936,12988437,6,743,19367542,1638533,20041118,6458345,Approved
129,2,Graduate,Yes,4609013,25032228,6,335,28685414,5380559,2290666,1485328,Rejected
130,0,Graduate,Yes,2908668,17320388,10,896,28362800,7940959,38198677,12934946,Approved
131,2,Not Graduate,Yes,5253679,9480638,2,454,10681979,7990462,37152604,5066182,Rejected
132,4,Graduate,Yes,1200294,29995883,14,468,6251039,19821730,25827846,2136314,Rejected
133,5,Not Graduate,Yes,5858307,25585922,2,571,20264142,4666428,35044066,12801602,Rejected
134,2,Graduate,No,9535592,12968957,8,846,5255805,17273860,39753491,4575632,Approved
135,0,Not Graduate,Yes,8374244,18899279,12,719,27787620,10152395,27414453,1155478,Approved
136,4,Graduate,No,2485362,25026981,2,483,20256311,11853016,22987946,13489991,Approved
137,1,Not Graduate,Yes,3042894,16739758,14,536,5500442,17468514,20879246,1329022,Rejected
138,5,Not Graduate,No,8765873,17635118,20,808,20990657,8858279,20436956,2750580,Approved
139,2,Not Graduate,Yes,8060791,7263068,14,740,10298781,4815808,30694736,3438517,Rejected
140,0,Graduate,Yes,3236773,29005743,6,421,17186711,1950291,14923675,11997021,Rejected
141,1,Graduate,Yes,4584432,466099,8,716,16863825,19905759,34559068,10637490,Approved
142,1,Not Graduate,No,1890792,22005228,12,834,1063360,3598662,1657567,1375405,Approved
143,3,Not Graduate,No,1831570,21615563,14,674,2584346,16223581,10448062,228996,Approved
144,4,Graduate,No,4973598,7179981,8,874,20599917,18086266,10351257,1445266,Approved
145,2,Graduate,No,1860102,25521918,20,625,23072986,5455791,20644488,10471692,Approved
146,0,Graduate,Yes,1711710,10419935,18,779,22588210,493798,19479498,4212305,Approved
147,3,Graduate,Yes,7476281,22405180,18,449,3219599,6505612,7747395,8022877,Rejected
148,4,Graduate,Yes,9420838,12625186,18,891,28931346,5812988,35476385,14308982,Approved
149,3,Graduate,No,1016609,21770920,20,789,13590661,6389691,33294531,2340729,Approved
150,5,Not Graduate,Yes,4784470,15734890,12,452,12248171,7565360,23342340,8545226,Rejected
151,4,Graduate,No,7007087,5995882,4,316,25207330,14692842,821072,3726294,Approved
152,4,Not Graduate,No,4262316,15920184,4,850,14412134,957644,22888011,9510795,Rejected
153,2,Graduate,No,5787239,22728821,8,647,2339615,13718936,4206825,3420587,Approved
154,4,Graduate,No,1855464,29815241,18,758,23457815,11192726,6072449,14487392,Approved
155,3,Not Graduate,No,9995427,5430605,6,501,12553858,2602034,38258827,14663569,Rejected
156,4,Not Graduate,Yes,8577114,24595176,12,722,29997368,7432366,38688235,14973761,Approved
157,2,Graduate,No,8556164,4404979,4,579,7652880,18812640,23048102,9152011,Rejected
158,2,Not Graduate,No,1078835,29554394,2,721,3201454,19982815,4847295,14945266,Approved
159,5,Not Graduate,Yes,9212186,22391476,10,899,29872626,12271838,12469568,1732710,Approved
160,3,Not Graduate,No,7756142,14761065,16,764,14605915,1995020,37444019,5735206,Approved
161,1,Not Graduate,No,3477560,3056181,20,654,18550431,10777494,34338020,6704992,Approved
162,1,Graduate,Yes,3369870,5558076,20,881,809714,9924992,27024595,13261873,Approved
163,4,Not Graduate,Yes,5288268,23303646,4,677,20040886,14747209,1487961,5054503,Rejected
164,5,Graduate,Yes,7479995,15404008,20,423,8418474,4877530,21124417,11247864,Approved
165,0,Graduate,No,6622892,12979420,18,379,8490330,13403335,21798807,11422582,Rejected
166,4,Graduate,Yes,2579093,8071391,16,856,17307252,19293522,34349335,10100732,Approved
167,5,Graduate,Yes,5680283,29450724,6,532,2133267,5057215,35912105,5658784,Rejected
168,3,Not Graduate,Yes,2960451,17893703,2,779,20808001,7739058,9615753,12264430,Approved
169,3,Not Graduate,No,9285997,24573802,8,453,27319046,18143536,27292571,5084206,Rejected
170,3,Graduate,Yes,6569553,6534548,16,708,20974994,16028489,18667465,14418491,Approved
171,3,Graduate,No,6632975,3828489,6,330,7373990,16209524,8856826,8319811,Rejected
172,3,Graduate,No,4441244,21312992,20,896,21662027,13959905,29929259,1677065,Approved
173,5,Graduate,Yes,4104840,9709533,4,856,20917151,9523540,8807542,5423743,Approved
174,5,Not Graduate,No,4020730,10541909,14,802,4705914,3860213,21649773,13976781,Approved
175,2,Graduate,No,3048411,21372166,8,670,19950431,16433681,681793,6943084,Approved
176,1,Not Graduate,Yes,3544443,12698587,12,622,10501393,11743265,23308784,13827398,Approved
177,3,Graduate,No,9645112,25159117,10,631,8442038,2874341,12832869,6790085,Approved
178,0,Graduate,Yes,2644149,16833956,4,542,19394053,19178676,34494138,8528808,Rejected
179,5,Graduate,No,7130358,13849872,20,851,15640537,13109186,17854759,4747699,Approved
180,0,Graduate,No,2414669,18004021,4,729,24322995,5805761,3216384,8510963,Approved
181,0,Not Graduate,Yes,7696121,19681876,18,481,18979860,12879039,23009794,9888685,Rejected
182,0,Not Graduate,Yes,2154702,5694181,20,772,23578715,13085392,32649584,14636509,Approved
183,2,Not Graduate,No,9688077,9757503,4,675,10702119,5758829,23577101,1276787,Rejected
184,5,Graduate,No,9775779,18555791,16,380,12841476,19879590,35247863,12628802,Rejected
185,0,Graduate,Yes,3133361,8074410,16,849,15504226,6192373,15764984,1081814,Rejected
186,3,Not Graduate,No,621655,20902697,2,719,20013985,7649063,21233666,11408588,Approved
187,4,Not Graduate,No,5523940,6328462,2,766,6593973,522962,18257209,293428,Approved
188,0,Graduate,No,999717,8440134,8,727,20691173,15477739,22909402,6966664,Approved
189,2,Graduate,No,5847069,7117718,4,356,13622279,12909453,25458833,2439892,Rejected
190,5,Not Graduate,Yes,2682266,11398657,2,621,3438787,12404058,13980565,4201352,Rejected
191,2,Graduate,Yes,1121806,6161598,18,841,9009931,10151984,17573860,6361589,Approved
192,0,Graduate,Yes,5165440,9591979,6,794,19935927,15214191,23551379,12992842,Approved
193,5,Not Graduate,Yes,9379651,8397714,2,565,6595883,7530168,27337806,5735070,Rejected
194,4,Graduate,Yes,8073692,22490379,4,526,25557104,10922196,11615387,4705445,Rejected
195,0,Not Graduate,Yes,1393728,17611759,16,353,15581333,18691588,7896765,408150,Rejected
196,2,Graduate,No,5261354,12786757,10,303,18432498,16485207,7455992,7245515,Approved
197,1,Not Graduate,Yes,7111957,1460706,14,738,2272744,7297702,32471607,4894051,Approved
198,3,Graduate,No,1704329,9449313,12,609,25659755,12911486,3477858,6601891,Approved
199,2,Not Graduate,No,1977850,13643731,2,388,15976987,5921047,29784090,1523992,Rejected
200,5,Not Graduate,No,6886269,16166180,12,619,15848831,18053543,24365842,517342,Approved
201,0,Not Graduate,Yes,735888,4087338,14,674,15779988,7520618,14136529,12622230,Approved
202,3,Not Graduate,No,7357303,20801464,8,800,6836464,15541997,10512078,1993082,Approved
203,0,Graduate,Yes,4118446,3499458,16,533,29702198,19987761,34536438,14686809,Rejected
204,5,Graduate,No,7171631,26517826,16,636,29191145,18183884,19561805,5610581,Approved
205,0,Not Graduate,No,2402888,21937589,14,870,14526814,8027621,27541359,11376624,Approved
206,1,Graduate,Yes,6903562,19896900,4,484,20893629,5415225,21742914,8107398,Rejected
207,3,Graduate,No,2752192,10815093,12,737,1756978,3032746,31787484,9960389,Approved
208,3,Graduate,No,8724405,15352918,12,855,11657657,8641281,34211192,551259,Approved
209,5,Graduate,No,1924620,11458815,14,479,27995769,14824510,26453202,5711315,Rejected
210,1,Graduate,No,5369719,29833346,12,375,649247,14201892,12684097,1710652,Rejected
211,2,Not Graduate,Yes,5030165,21548428,4,571,4288170,1048399,22652304,11424358,Rejected
212,0,Not Graduate,No,6766692,15126292,16,354,15183795,19213850,7478731,11661223,Approved
213,4,Not Graduate,No,558062,27533927,8,376,10005013,2409437,10684018,13098760,Rejected
214,0,Not Graduate,Yes,7448730,14149471,18,595,29445335,16338528,1352522,3100288,Rejected
215,0,Graduate,No,2277645,348595,16,518,2786636,18491807,12450973,13694018,Rejected
216,2,Graduate,No,1601471,10440969,6,576,23845475,3974024,24648141,12225137,Rejected
217,0,Not Graduate,No,4979897,8068737,6,877,26499022,5642506,37264284,10363418,Approved
218,1,Graduate,No,1916548,8294563,16,565,1093483,9890788,25291246,5376906,Rejected
219,1,Graduate,Yes,5152505,2376881,4,342,17045496,8081309,34432630,13972911,Rejected
220,3,Not Graduate,No,9606751,7579602,18,660,14912919,13873895,23766228,8178609,Approved
221,5,Graduate,Yes,4300321,6596195,8,527,16431577,5040687,23273694,2535002,Rejected
222,4,Not Graduate,No,2297711,22407347,12,526,1119925,10999645,36585863,8299397,Rejected
223,0,Not Graduate,No,6295561,15464217,6,362,24879590,3032891,3456327,6889848,Rejected
224,0,Graduate,No,237361,17797416,6,470,24580279,13709887,12054746,1529537,Rejected
225,2,Graduate,Yes,3098845,9328879,6,606,5582177,14003893,16365668,2882595,Approved
226,5,Not Graduate,No,8346836,29025081,20,867,17349375,10159695,34921025,13995364,Approved
227,1,Not Graduate,No,3663227,26862085,4,333,377460,8333654,7863785,7816340,Rejected
228,4,Graduate,Yes,8293068,9526371,16,429,2178140,12675786,12888918,10981918,Rejected
229,3,Not Graduate,Yes,2657856,12437210,18,693,13690790,327590,18308489,2781293,Approved
230,1,Not Graduate,Yes,1961856,19693516,16,450,10023143,7621006,9831651,6637664,Rejected
231,5,Not Graduate,Yes,2541102,1278152,20,683,29947282,7834864,38448615,10420700,Approved
232,3,Graduate,No,200037,21081285,6,316,18386974,12590926,5799416,8190669,Rejected
233,2,Not Graduate,No,9210139,3623700,14,893,14376133,19067171,27626170,9705524,Approved
234,2,Graduate,No,6451936,2207154,20,313,14885428,4892725,4503374,419820,Rejected
235,0,Not Graduate,No,853668,10321325,4,380,17917991,19729552,32203921,3661461,Rejected
236,5,Graduate,Yes,3604158,18723614,8,506,13996568,4673109,32959892,1736591,Rejected
237,4,Not Graduate,No,2856040,19149876,12,503,24032504,7678934,22694330,14351261,Rejected
238,3,Graduate,No,903645,22378542,10,678,846011,18500060,28438054,13236099,Rejected
239,1,Graduate,No,5111672,17354914,18,843,28486395,159765,18145050,7160346,Approved
240,5,Graduate,No,8415984,3232196,20,322,11903189,14507338,4041142,10402024,Rejected
241,5,Not Graduate,Yes,8331631,23414292,8,461,16579390,18756899,23774352,8706432,Rejected
242,2,Not Graduate,No,9894535,9019537,10,443,13707795,11744284,37938194,13302942,Rejected
243,0,Not Graduate,No,2821872,28838477,8,403,22402947,14305193,30350140,12187893,Rejected
244,0,Graduate,No,793975,23601197,16,681,8003704,1071263,39373259,10729051,Approved
245,3,Not Graduate,Yes,5252683,20300712,16,754,11407379,10841637,13641700,5427574,Approved
246,2,Graduate,Yes,4183063,20032910,6,716,26356936,12455288,35610042,11693379,Approved
247,5,Not Graduate,No,2482373,19194790,2,623,19353284,670038,10949808,8645669,Approved
248,4,Graduate,No,3040152,10585460,12,470,9813573,19568543,15784004,10126735,Approved
249,2,Graduate,No,7727872,27327662,4,875,12532050,19425133,10511425,14429254,Approved
250,3,Graduate,Yes,2750552,28002387,4,882,11330027,8191610,33028639,14096956,Approved
251,3,Not Graduate,No,9440832,13178433,6,573,14244548,2155285,38281125,4518970,Rejected
252,2,Not Graduate,No,2592735,14071815,16,751,26689284,9676118,6978687,4681015,Approved
253,3,Not Graduate,No,7704361,11344672,6,424,132286,14196419,23861864,10602590,Rejected
254,2,Graduate,Yes,7514153,9542143,14,682,13687645,18709324,39722649,2618418,Approved
255,1,Graduate,No,5618626,6287641,20,616,14945439,17741407,37760553,8128256,Rejected
256,2,Not Graduate,No,9950576,10898706,20,406,22862129,6470521,1963434,3346458,Rejected
257,2,Not Graduate,Yes,3822546,13688164,18,762,27535097,252572,19480699,643929,Approved
258,3,Not Graduate,Yes,6196522,16477053,16,729,443045,4697639,8795361,8322375,Approved
259,3,Graduate,No,3806940,14765941,2,636,28598824,11690486,18168919,2603923,Approved
260,0,Graduate,Yes,6135537,16214579,14,795,26655530,4260012,2524959,8182038,Rejected
261,0,Graduate,No,3800200,6446502,14,661,23238398,8643977,24803454,254307,Approved
262,1,Graduate,Yes,759031,22109990,16,731,13061398,2234487,2649096,1517718,Approved
263,0,Graduate,Yes,6691280,27071953,20,819,9711117,17575269,37231187,8398493,Approved
264,2,Not Graduate,No,2901243,13722001,10,705,15479063,42369,37323612,1910496,Rejected
265,3,Graduate,No,5644003,1505313,20,676,16639009,17374096,38737968,5011265,Approved
266,0,Graduate,No,4635728,11013070,18,451,4484890,9759595,5583933,4751934,Rejected
267,0,Graduate,Yes,8794992,29105581,18,621,13149116,5854041,14824472,3858650,Approved
268,1,Graduate,No,6742155,4461502,16,513,6776845,19785590,3714919,2080185,Rejected
269,5,Graduate,No,7365371,4263121,12,875,10851864,9551166,22348356,11946293,Approved
270,1,Not Graduate,No,4335554,4635484,12,364,4596050,18284804,549028,816193,Rejected
271,2,Graduate,No,3188088,24861869,2,569,14220425,12715336,29913573,10922112,Rejected
272,3,Graduate,No,1179907,3786788,12,836,1814500,18617467,16560628,8912152,Approved
273,1,Graduate,Yes,413968,12600426,8,399,15614006,5419285,25715935,556972,Rejected
274,0,Not Graduate,No,8883565,19550599,8,404,27105923,4253788,4902382,3613055,Rejected
275,3,Not Graduate,No,2101737,17208228,4,430,2705574,13943606,32075703,4200662,Rejected
276,3,Not Graduate,Yes,5185248,25264700,8,688,10123807,10319999,4611492,922461,Approved
277,0,Graduate,No,6609363,9166186,10,620,22543831,10551462,16400594,8095797,Approved
278,1,Not Graduate,No,2502743,13308324,10,737,10649324,3560254,3180997,2593928,Approved
279,0,Graduate,No,4788156,24167184,10,318,22249353,3780843,34508566,4305879,Rejected
280,5,Graduate,No,1185461,24536597,8,524,2312669,10372127,33149116,8172787,Rejected
281,3,Not Graduate,No,6031759,7051775,2,865,24277225,7868606,28560077,1244724,Approved
282,4,Graduate,Yes,5910912,12896963,20,759,5972099,13049673,6147539,8332624,Approved
283,4,Graduate,Yes,2006423,6829806,16,693,1082479,4525991,17918360,1452797,Approved
284,2,Graduate,Yes,2150408,9038770,6,525,18376622,6568592,18070883,6680613,Rejected
285,0,Not Graduate,No,9216523,19629663,4,659,28157396,5308063,37767297,3383490,Approved
286,0,Graduate,Yes,3794128,21597109,18,729,25000052,16922878,18114840,14998387,Approved
287,2,Graduate,No,9765565,18245953,14,314,23453890,19741974,3870883,11302173,Rejected
288,2,Not Graduate,No,8306584,15525040,18,859,16636270,16168635,20274771,7820304,Rejected
289,2,Graduate,No,1606427,28628843,4,845,17394319,2843596,32522496,11510445,Approved
290,3,Graduate,Yes,3689550,28375672,18,713,15642541,4431569,25693709,1310953,Approved
291,5,Not Graduate,Yes,7089053,4578903,20,654,20703484,2056297,38827825,6137043,Approved
292,0,Graduate,Yes,4095090,28022448,18,756,27935332,10987076,35279058,2298377,Approved
293,3,Graduate,No,2965013,11953513,18,830,23803929,18845887,31096246,11215726,Approved
294,2,Graduate,Yes,6362492,18429086,20,495,7417777,13923871,957323,13659591,Rejected
295,0,Graduate,No,8624990,3435160,20,414,1322322,17529006,13469624,14218954,Rejected
296,3,Graduate,Yes,7238170,4286321,8,716,16155936,406138,1618244,6595087,Approved
297,5,Not Graduate,Yes,1062219,8389681,20,651,1796380,3667931,19078371,5577817,Approved
298,3,Not Graduate,No,8534750,15149132,6,374,19144378,8449239,13901213,13048994,Rejected
299,5,Not Graduate,No,1918303,22152831,12,335,14029023,15733796,25306639,12683822,Rejected
300,2,Not Graduate,Yes,9863464,7250669,6,541,13554042,10272921,7613590,3414270,Rejected
301,5,Graduate,Yes,4001082,9778391,18,362,14107512,19015093,13995909,3555213,Rejected
302,0,Graduate,Yes,3546668,6255343,6,808,26432840,6023932,5216763,10673478,Approved
303,2,Graduate,No,6896674,14908369,4,487,23062836,6981603,1571099,3302578,Rejected
304,0,Graduate,No,3405677,14454489,16,392,27793325,9593929,25108983,260462,Rejected
305,4,Graduate,Yes,2706068,1780913,12,304,9220883,13778715,17076073,14582149,Approved
306,1,Not Graduate,Yes,683075,21486447,16,737,27891604,8470344,29223492,9338931,Approved
307,5,Not Graduate,No,8326198,25400102,14,465,5413171,1761428,36339514,11220853,Rejected
308,1,Graduate,Yes,8915978,9331329,6,745,23217403,15871481,9558068,5740134,Approved
